Year,Winner,Time,Gender
1896,Tom Burke,12,Men
1900,Frank Jarvis,11,Men
1904,Archie Hahn,11,Men
1906,Archie Hahn,11.2,Men
1908,Reggie Walker,10.8,Men
1912,Ralph Craig,10.8,Men
1920,Charles Paddock,10.8,Men
1924,Harold Abrahams,10.6,Men
1928,Percy Williams,10.8,Men
1932,Eddie Tolan,10.38,Men
1936,Jesse Owens,10.3,Men
1948,Harrison Dillard,10.3,Men
1952,Lindy Remigino,10.4,Men
1956,Bobby Morrow,10.5,Men
1960,Armin Hary,10.2,Men
1964,Bob Hayes,10,Men
1968,Jim Hines,9.95,Men
1972,Valeriy Borzov,10.14,Men
1976,Hasely Crawford,10.06,Men
1980,Allan Wells,10.25,Men
1984,Carl Lewis,9.99,Men
1988,Carl Lewis,9.92,Men
1992,Linford Christie,9.96,Men
1996,Donovan Bailey,9.84,Men
2000,Maurice Greene,9.87,Men
2004,Justin Gatlin,9.85,Men
2008,Usain Bolt,9.69,Men
2012,Usain Bolt,9.63,Men
2016,Usain Bolt,9.81,Men
2021,Lamont Marcell Jacobs,9.8,Men
2016,Elaine THOMPSON,10.71,Women
2008,Shelly-Ann FRASER-PRYCE,10.78,Women
1992,Gail DEVERS,10.82,Women
1984,Evelyn ASHFORD,10.97,Women
1976,Annegret RICHTER-IRRGANG,11.08,Women
1968,Wyomia TYUS,11,Women
1960,Wilma RUDOLPH,11,Women
1952,Marjorie JACKSON,11.5,Women
1936,Helen STEPHENS,11.5,Women
1928,Elizabeth ROBINSON,12.2,Women
2012,Shelly-Ann FRASER-PRYCE,10.75,Women
2004,Yuliya NESTSIARENKA,10.93,Women
1996,Gail DEVERS,10.94,Women
1980,Lyudmila KONDRATYEVA,11.06,Women
1972,Renate STECHER,11.07,Women
1964,Wyomia TYUS,11.4,Women
1956,Betty CUTHBERT,11.5,Women
1948,Fanny BLANKERS-KOEN,11.9,Women
1932,Stanislawa WALASIEWICZ,11.9,Women
1988,Florence Griffith-Joyner,10.54,Women
2021,Elaine Thompson Herah,10.61,Women
